MESES DE REFERÊNCIA;Chuva_Acumulada;TEMPERATURA MÉDIA MENSAL (°C);UMIDADE MÉDIA (%);PRESSÃO MÉDIA (hPa);chikungunya;dengue;zika;Total Arboviroses;NÍVEL DE ALERTA - DENGUE (0-3);POPULAÇÃO SEM COLETA DE ESGOTO (NÚMERO DE PESSOAS);PERCENTUAL SEM COLETA DE ESGOTO (%)
2010-01-01;53,4;28,3;70,43;1008,16;0,0;388,0;0,0;388,0;1,0;1267675,0;0,517
2010-02-01;73,4;28,55;72,44;1007,43;0,0;301,0;0,0;301,0;1,0;1267675,0;0,517
2010-03-01;39,2;28,86;70,78;1007,99;0,0;337,0;0,0;337,0;1,0;1267675,0;0,517
2010-04-01;0,0;28,66;69,44;1008,21;0,0;388,0;0,0;388,0;1,0;1267675,0;0,517
2010-05-01;0,0;28,47;68,1;1008,43;0,0;514,0;0,0;514,0;1,0;1267675,0;0,517
2010-06-01;0,0;28,27;66,76;1008,65;0,0;589,0;0,0;589,0;1,0;1267675,0;0,517
2010-07-01;0,0;28,07;65,42;1008,87;0,0;796,0;0,0;796,0;1,0;1267675,0;0,517
2010-08-01;0,0;27,88;64,08;1009,09;0,0;1027,0;0,0;1027,0;1,0;1267675,0;0,517
2010-09-01;0,0;27,68;62,74;1009,31;0,0;599,0;0,0;599,0;1,0;1267675,0;0,517
2010-10-01;0,0;28,08;62,5;1007,96;0,0;532,0;0,0;532,0;1,0;1267675,0;0,517
2010-11-01;0,0;28,47;62,27;1006,6;0,0;931,0;0,0;931,0;1,0;1267675,0;0,517
2010-12-01;58,0;27,93;70,3;1006,36;0,0;1463,0;0,0;1463,0;1,0;1267675,0;0,517
2011-01-01;207,4;27,59;73,67;1006,48;0,0;2372,0;0,0;2372,0;1,0;1148295,0;0,464
2011-02-01;291,2;26,31;82,05;1007,52;0,0;3949,0;0,0;3949,0;2,0;1148295,0;0,464
2011-03-01;3,0;26,5;80,94;1007,29;0,0;8648,0;0,0;8648,0;3,0;1148295,0;0,464
2011-04-01;113,2;26,64;81,47;1007,81;0,0;11226,0;0,0;11226,0;3,0;1148295,0;0,464
2011-05-01;93,8;26,88;79,22;1008,31;0,0;7290,0;0,0;7290,0;2,0;1148295,0;0,464
2011-06-01;106,4;26,39;76,96;1009,88;0,0;2003,0;0,0;2003,0;1,0;1148295,0;0,464
2011-07-01;91,8;26,05;75,13;1010,22;0,0;1101,0;0,0;1101,0;1,0;1148295,0;0,464
2011-08-01;18,6;26,68;69,88;1010,97;0,0;549,0;0,0;549,0;1,0;1148295,0;0,464
2011-09-01;0,0;27,05;65,76;1010,86;0,0;517,0;0,0;517,0;1,0;1148295,0;0,464
2011-10-01;28,6;27,37;68,98;1008,05;0,0;572,0;0,0;572,0;1,0;1148295,0;0,464
2011-11-01;8,6;28,43;65,76;1008,14;0,0;506,0;0,0;506,0;1,0;1148295,0;0,464
2011-12-01;6,2;29,17;62,06;1008,32;0,0;558,0;0,0;558,0;1,0;1148295,0;0,464
2012-01-01;18,2;28,93;65,11;1008,24;0,0;1001,0;0,0;1001,0;1,0;1264466,0;0,506
2012-02-01;0,0;27,94;71,68;1008,32;0,0;1327,0;0,0;1327,0;1,0;1264466,0;0,506
2012-03-01;264,8;26,96;78,24;1008,39;0,0;3431,0;0,0;3431,0;2,0;1264466,0;0,506
2012-04-01;145,0;27,31;77,26;1008,23;0,0;13142,0;0,0;13142,0;3,0;1264466,0;0,506
2012-05-01;132,2;27,22;74,03;1009,56;0,0;18986,0;0,0;18986,0;4,0;1264466,0;0,506
2012-06-01;128,0;26,7;75,41;1010,87;0,0;4193,0;0,0;4193,0;2,0;1264466,0;0,506
2012-07-01;7,2;26,75;69,13;1010,76;0,0;1377,0;0,0;1377,0;1,0;1264466,0;0,506
2012-08-01;0,2;26,82;65,31;1011,7;0,0;446,0;0,0;446,0;1,0;1264466,0;0,506
2012-09-01;1,4;27,07;64,96;1011,68;0,0;336,0;0,0;336,0;1,0;1264466,0;0,506
2012-10-01;11,4;27,32;66,06;1009,18;0,0;288,0;0,0;288,0;1,0;1264466,0;0,506
2012-11-01;4,6;27,68;66,94;1008,3;0,0;197,0;0,0;197,0;1,0;1264466,0;0,506
2012-12-01;16,2;28,06;68,77;1007,73;0,0;284,0;0,0;284,0;1,0;1264466,0;0,506
2013-01-01;46,4;27,99;71,4;1008,63;0,0;480,0;0,0;480,0;1,0;1313360,0;0,515
2013-02-01;102,8;28,17;71,66;1007,6;0,0;912,0;0,0;912,0;1,0;1313360,0;0,515
2013-03-01;69,2;28,39;73,05;1008,18;0,0;2032,0;0,0;2032,0;1,0;1313360,0;0,515
2013-04-01;175,8;27,46;78,86;1008,67;0,0;2469,0;0,0;2469,0;1,0;1313360,0;0,515
2013-05-01;133,0;27,26;78,03;1009,27;0,0;2399,0;0,0;2399,0;1,0;1313360,0;0,515
2013-06-01;216,4;26,45;79,43;1010,27;0,0;3334,0;0,0;3334,0;2,0;1313360,0;0,515
2013-07-01;88,6;26,3;75,95;1011,21;0,0;2427,0;0,0;2427,0;1,0;1313360,0;0,515
2013-08-01;13,8;27,12;68,12;1010,37;0,0;1913,0;0,0;1913,0;1,0;1313360,0;0,515
2013-09-01;11,2;27,33;67,01;1010,46;0,0;1020,0;0,0;1020,0;1,0;1313360,0;0,515
2013-10-01;11,4;27,67;66,03;1009,74;0,0;429,0;0,0;429,0;1,0;1313360,0;0,515
2013-11-01;13,4;27,72;67,84;1007,88;0,0;305,0;0,0;305,0;1,0;1313360,0;0,515
2013-12-01;11,8;27,99;67,83;1008,42;0,0;334,0;0,0;334,0;1,0;1313360,0;0,515
2014-01-01;69,6;27,73;71,29;1008,75;0,0;514,0;0,0;514,0;1,0;1350155,0;0,525
2014-02-01;136,6;27,31;77,26;1007,76;0,0;568,0;0,0;568,0;1,0;1350155,0;0,525
2014-03-01;142,2;27,29;78,48;1008,52;0,0;824,0;0,0;824,0;1,0;1350155,0;0,525
2014-04-01;47,8;26,63;85,16;1009,52;0,0;888,0;0,0;888,0;1,0;1350155,0;0,525
2014-05-01;65,2;26,61;73,77;1009,15;0,0;1863,0;0,0;1863,0;1,0;1350155,0;0,525
2014-06-01;58,6;27,13;71,6;1010,21;0,0;2193,0;0,0;2193,0;1,0;1350155,0;0,525
2014-07-01;36,8;26,64;68,94;1012,41;0,0;1379,0;0,0;1379,0;1,0;1350155,0;0,525
2014-08-01;2,4;26,99;63,8;1011,57;0,0;1056,0;0,0;1056,0;1,0;1350155,0;0,525
2014-09-01;8,4;27,24;65,86;1010,98;0,0;650,0;0,0;650,0;1,0;1350155,0;0,525
2014-10-01;5,2;27,67;63,52;1009,87;0,0;538,0;0,0;538,0;1,0;1350155,0;0,525
2014-11-01;19,0;27,57;66,13;1008,9;0,0;484,0;0,0;484,0;1,0;1350155,0;0,525
2014-12-01;52,6;27,72;67,32;1009,13;0,0;293,0;0,0;293,0;1,0;1350155,0;0,525
2015-01-01;75,0;27,46;69,16;1009,75;5,0;769,0;0,0;774,0;1,0;1320597,0;0,51
2015-02-01;147,8;27,5;72,93;1008,97;5,0;1275,0;0,0;1280,0;1,0;1320597,0;0,51
2015-03-01;379,4;26,82;77,69;1008,68;8,0;3522,0;0,0;3530,0;2,0;1320597,0;0,51
2015-04-01;301,0;26,82;79,43;1008,99;37,0;7214,0;0,0;7251,0;2,0;1320597,0;0,51
