MES_REFERENCIA,chikungunya,dengue,zika,total_arboviroses,nivel_alerta
2010-01-01,0.0,388.0,0.0,388.0,1
2010-02-01,0.0,301.0,0.0,301.0,1
2010-03-01,0.0,337.0,0.0,337.0,1
2010-04-01,0.0,388.0,0.0,388.0,1
2010-05-01,0.0,514.0,0.0,514.0,1
2010-06-01,0.0,589.0,0.0,589.0,1
2010-07-01,0.0,796.0,0.0,796.0,1
2010-08-01,0.0,1027.0,0.0,1027.0,1
2010-09-01,0.0,599.0,0.0,599.0,1
2010-10-01,0.0,532.0,0.0,532.0,1
2010-11-01,0.0,931.0,0.0,931.0,1
2010-12-01,0.0,1463.0,0.0,1463.0,1
2011-01-01,0.0,2372.0,0.0,2372.0,1
2011-02-01,0.0,3949.0,0.0,3949.0,2
2011-03-01,0.0,8648.0,0.0,8648.0,3
2011-04-01,0.0,11226.0,0.0,11226.0,3
2011-05-01,0.0,7290.0,0.0,7290.0,2
2011-06-01,0.0,2003.0,0.0,2003.0,1
2011-07-01,0.0,1101.0,0.0,1101.0,1
2011-08-01,0.0,549.0,0.0,549.0,1
2011-09-01,0.0,517.0,0.0,517.0,1
2011-10-01,0.0,572.0,0.0,572.0,1
2011-11-01,0.0,506.0,0.0,506.0,1
2011-12-01,0.0,558.0,0.0,558.0,1
2012-01-01,0.0,1001.0,0.0,1001.0,1
2012-02-01,0.0,1327.0,0.0,1327.0,1
2012-03-01,0.0,3431.0,0.0,3431.0,2
2012-04-01,0.0,13142.0,0.0,13142.0,3
2012-05-01,0.0,18986.0,0.0,18986.0,4
2012-06-01,0.0,4193.0,0.0,4193.0,2
2012-07-01,0.0,1377.0,0.0,1377.0,1
2012-08-01,0.0,446.0,0.0,446.0,1
2012-09-01,0.0,336.0,0.0,336.0,1
2012-10-01,0.0,288.0,0.0,288.0,1
2012-11-01,0.0,197.0,0.0,197.0,1
2012-12-01,0.0,284.0,0.0,284.0,1
2013-01-01,0.0,480.0,0.0,480.0,1
2013-02-01,0.0,912.0,0.0,912.0,1
2013-03-01,0.0,2032.0,0.0,2032.0,1
2013-04-01,0.0,2469.0,0.0,2469.0,1
2013-05-01,0.0,2399.0,0.0,2399.0,1
2013-06-01,0.0,3334.0,0.0,3334.0,2
2013-07-01,0.0,2427.0,0.0,2427.0,1
2013-08-01,0.0,1913.0,0.0,1913.0,1
2013-09-01,0.0,1020.0,0.0,1020.0,1
2013-10-01,0.0,429.0,0.0,429.0,1
2013-11-01,0.0,305.0,0.0,305.0,1
2013-12-01,0.0,334.0,0.0,334.0,1
2014-01-01,0.0,514.0,0.0,514.0,1
2014-02-01,0.0,568.0,0.0,568.0,1
2014-03-01,0.0,824.0,0.0,824.0,1
2014-04-01,0.0,888.0,0.0,888.0,1
2014-05-01,0.0,1863.0,0.0,1863.0,1
2014-06-01,0.0,2193.0,0.0,2193.0,1
2014-07-01,0.0,1379.0,0.0,1379.0,1
2014-08-01,0.0,1056.0,0.0,1056.0,1
2014-09-01,0.0,650.0,0.0,650.0,1
2014-10-01,0.0,538.0,0.0,538.0,1
2014-11-01,0.0,484.0,0.0,484.0,1
2014-12-01,0.0,293.0,0.0,293.0,1
2015-01-01,5.0,769.0,0.0,774.0,1
2015-02-01,5.0,1275.0,0.0,1280.0,1
2015-03-01,8.0,3522.0,0.0,3530.0,2
2015-04-01,37.0,7214.0,0.0,7251.0,2
2015-05-01,94.0,17109.0,0.0,17203.0,4
2015-06-01,52.0,6980.0,0.0,7032.0,2
2015-07-01,49.0,3234.0,0.0,3283.0,2
2015-08-01,10.0,1636.0,0.0,1646.0,1
2015-09-01,3.0,561.0,0.0,564.0,1
2015-10-01,2.0,357.0,0.0,359.0,1
2015-11-01,12.0,450.0,0.0,462.0,1
2015-12-01,30.0,397.0,7.0,434.0,1
2016-01-01,118.0,1465.0,136.0,1719.0,1
2016-02-01,322.0,1995.0,298.0,2615.0,1
2016-03-01,940.0,2498.0,423.0,3861.0,2
2016-04-01,2602.0,6332.0,577.0,9511.0,3
2016-05-01,6445.0,13527.0,1084.0,21056.0,4
2016-06-01,5132.0,6442.0,514.0,12088.0,3
2016-07-01,3638.0,5218.0,256.0,9112.0,3
2016-08-01,1572.0,2524.0,91.0,4187.0,2
2016-09-01,982.0,1700.0,124.0,2806.0,1
2016-10-01,923.0,1643.0,53.0,2619.0,1
2016-11-01,496.0,1385.0,25.0,1906.0,1
2016-12-01,322.0,1208.0,18.0,1548.0,1
2017-01-01,821.0,3328.0,65.0,4214.0,2
2017-02-01,1876.0,5050.0,95.0,7021.0,2
2017-03-01,10715.0,8238.0,383.0,19336.0,4
2017-04-01,31111.0,14309.0,648.0,46068.0,4
2017-05-01,18165.0,3780.0,220.0,22165.0,4
2017-06-01,4864.0,1160.0,52.0,6076.0,2
2017-07-01,3212.0,865.0,43.0,4120.0,2
2017-08-01,1277.0,418.0,20.0,1715.0,1
2017-09-01,845.0,1041.0,8.0,1894.0,1
2017-10-01,409.0,690.0,5.0,1104.0,1
2017-11-01,277.0,313.0,10.0,600.0,1
2017-12-01,272.0,374.0,12.0,658.0,1
2018-01-01,263.0,495.0,15.0,773.0,1
2018-02-01,252.0,585.0,29.0,866.0,1
2018-03-01,271.0,831.0,15.0,1117.0,1
2018-04-01,336.0,1553.0,27.0,1916.0,1
2018-05-01,121.0,498.0,20.0,639.0,1
2018-06-01,92.0,291.0,4.0,387.0,1
2018-07-01,102.0,365.0,14.0,481.0,1
2018-08-01,86.0,190.0,6.0,282.0,1
2018-09-01,74.0,175.0,12.0,261.0,1
2018-10-01,59.0,133.0,10.0,202.0,1
2018-11-01,61.0,148.0,4.0,213.0,1
2018-12-01,51.0,274.0,6.0,331.0,1
2019-01-01,92.0,452.0,10.0,554.0,1
2019-02-01,80.0,489.0,7.0,576.0,1
2019-03-01,166.0,1847.0,15.0,2028.0,1
2019-04-01,194.0,1855.0,19.0,2068.0,1
2019-05-01,147.0,1309.0,24.0,1480.0,1
2019-06-01,104.0,1070.0,27.0,1201.0,1
2019-07-01,65.0,845.0,21.0,931.0,1
2019-08-01,78.0,680.0,17.0,775.0,1
2019-09-01,83.0,716.0,26.0,825.0,1
2019-10-01,53.0,371.0,13.0,437.0,1
2019-11-01,38.0,366.0,6.0,410.0,1
2019-12-01,54.0,429.0,12.0,495.0,1
2020-01-01,88.0,973.0,11.0,1072.0,1
2020-02-01,116.0,2378.0,13.0,2507.0,1
2020-03-01,117.0,2635.0,6.0,2758.0,1
2020-04-01,84.0,2140.0,14.0,2238.0,1
2020-05-01,105.0,1836.0,37.0,1978.0,1
2020-06-01,120.0,1820.0,33.0,1973.0,1
2020-07-01,103.0,1519.0,30.0,1652.0,1
2020-08-01,57.0,1265.0,22.0,1344.0,1
2020-09-01,48.0,586.0,14.0,648.0,1
2020-10-01,29.0,402.0,11.0,442.0,1
2020-11-01,49.0,565.0,14.0,628.0,1
2020-12-01,19.0,327.0,7.0,353.0,1
2021-01-01,44.0,660.0,14.0,718.0,1
2021-02-01,33.0,865.0,11.0,909.0,1
2021-03-01,34.0,1016.0,12.0,1062.0,1
2021-04-01,54.0,2274.0,29.0,2357.0,1
2021-05-01,162.0,7066.0,54.0,7282.0,2
2021-06-01,154.0,6990.0,50.0,7194.0,2
2021-07-01,100.0,4859.0,24.0,4983.0,2
2021-08-01,89.0,3382.0,12.0,3483.0,2
2021-09-01,37.0,1496.0,4.0,1537.0,1
2021-10-01,36.0,1255.0,4.0,1295.0,1
2021-11-01,19.0,775.0,0.0,794.0,1
2021-12-01,9.0,756.0,0.0,765.0,1
2022-01-01,78.0,874.0,7.0,959.0,1
2022-02-01,397.0,1246.0,12.0,1655.0,1
2022-03-01,1360.0,2946.0,43.0,4349.0,2
2022-04-01,4393.0,6400.0,46.0,10839.0,3
2022-05-01,10731.0,11540.0,91.0,22362.0,4
2022-06-01,6674.0,7386.0,32.0,14092.0,4
2022-07-01,3372.0,4095.0,33.0,7500.0,2
2022-08-01,1149.0,2088.0,29.0,3266.0,2
2022-09-01,478.0,1469.0,25.0,1972.0,1
2022-10-01,308.0,1012.0,23.0,1343.0,1
2022-11-01,141.0,803.0,26.0,970.0,1
2022-12-01,106.0,458.0,8.0,572.0,1
2023-01-01,227.0,1240.0,17.0,1484.0,1
2023-02-01,227.0,1881.0,32.0,2140.0,1
2023-03-01,361.0,2856.0,40.0,3257.0,2
2023-04-01,313.0,2177.0,50.0,2540.0,1
2023-05-01,176.0,1521.0,20.0,1717.0,1
2023-06-01,189.0,1221.0,30.0,1440.0,1
2023-07-01,180.0,1292.0,28.0,1500.0,1
2023-08-01,101.0,788.0,0.0,889.0,1
2023-09-01,84.0,691.0,0.0,775.0,1
2023-10-01,102.0,686.0,0.0,788.0,1
2023-11-01,58.0,414.0,0.0,472.0,1
2023-12-01,75.0,374.0,3.0,452.0,1
2024-01-01,96.0,807.0,1.0,904.0,1
2024-02-01,146.0,1609.0,0.0,1755.0,1
2024-03-01,131.0,3197.0,0.0,3328.0,2
2024-04-01,114.0,2098.0,0.0,2212.0,1
2024-05-01,108.0,1101.0,0.0,1209.0,1
2024-06-01,85.0,962.0,0.0,1047.0,1
2024-07-01,56.0,557.0,0.0,613.0,1
2024-08-01,46.0,513.0,0.0,559.0,1
2024-09-01,57.0,444.0,0.0,501.0,1
2024-10-01,30.0,317.0,0.0,347.0,1
2024-11-01,30.0,421.0,0.0,451.0,1
2024-12-01,27.0,274.0,0.0,301.0,1
