data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year,tipo_doenca
2025-12-28,202553,54.0,54,54,54,0.38630608,2.0799975,0,1,230440020255320599,2026-05-26,Fortaleza,,0.94681644,2596157,25.4262285714286,87.1037714285714,1,0,0,72.8921571428571,53.9217142857143,27.6303142857143,30.8853714285714,12.0,,,,,388082,dengue
2025-12-21,202552,46.0,46,46,46,0.02915176,1.7718498,0,1,230440020255220599,2026-05-26,Fortaleza,,0.6980209,2596157,25.4229714285714,83.9753857142857,0,0,0,72.9633714285714,56.6318571428571,27.4553428571429,30.4650857142857,13.0,,,,,388082,dengue
2025-12-14,202551,51.0,51,51,51,0.10003454,1.964442,0,1,230440020255120599,2026-05-26,Fortaleza,,0.7880364,2596157,25.57,82.4015285714286,0,0,0,71.7790857142857,54.8566285714286,27.4093714285714,30.4231,13.0,,,,,388082,dengue
2025-12-07,202550,76.0,76,76,76,0.964258,2.927404,0,1,230440020255020599,2026-05-26,Fortaleza,,1.3707504,2596157,25.5161428571429,83.7274285714286,0,0,0,72.8337,56.8962,27.4855428571429,30.5283857142857,29.0,,,,,388082,dengue
2025-11-30,202549,75.0,75,75,75,0.97752225,2.8888855,0,1,230440020254920599,2026-05-26,Fortaleza,,1.4287347,2596157,25.3668142857143,83.8088714285714,0,0,0,71.3769,53.1222285714286,27.4645857142857,30.9501428571429,21.0,,,,,388082,dengue
2025-11-23,202548,44.0,44,44,44,0.09763647,1.6948128,0,1,230440020254820599,2026-05-26,Fortaleza,,0.7727391,2596157,25.5295857142857,82.7635285714286,0,0,0,70.3356285714286,51.6161285714286,27.5414,30.8807,11.0,,,,,388082,dengue
2025-11-16,202547,51.0,51,51,51,0.22278678,1.964442,0,1,230440020254720599,2026-05-26,Fortaleza,,0.8649142,2596157,25.3037285714286,82.8495857142857,0,0,0,71.1626571428571,52.6908285714286,27.3385857142857,30.7339,8.0,,,,,388082,dengue
2025-11-09,202546,55.0,55,55,55,0.5165846,2.118516,0,1,230440020254620599,2026-05-26,Fortaleza,,1.0079466,2596157,25.1830285714286,83.3045571428571,0,0,0,70.2438142857143,47.9833714285714,27.3344571428571,31.0836857142857,7.0,,,,,388082,dengue
2025-11-02,202545,73.0,73,73,73,0.94778264,2.8118484,0,1,230440020254520599,2026-05-26,Fortaleza,,1.3335787,2596157,24.9248142857143,82.4328571428571,0,0,0,70.1921714285714,52.0100285714286,27.0647142857143,30.5051428571429,8.0,,,,,388082,dengue
2025-10-26,202544,44.0,44,44,44,0.03299036,1.6948128,0,1,230440020254420599,2026-05-26,Fortaleza,,0.69970995,2596157,24.9391,81.3060428571429,0,0,0,68.4109428571429,46.0791285714286,27.3691857142857,31.5823,6.0,,,,,388082,dengue
2025-10-19,202543,53.0,53,53,53,0.042184375,2.041479,0,1,230440020254320599,2026-05-26,Fortaleza,,0.7339774,2596157,25.0809714285714,82.6925428571429,0,0,0,68.0769142857143,44.7721571428571,27.4826857142857,31.6833571428571,4.0,,,,,388082,dengue
2025-10-12,202542,59.0,59,59,59,0.10229373,2.27259,0,1,230440020254220599,2026-05-26,Fortaleza,,0.802238,2596157,24.7386,83.0631,0,0,0,69.4981,46.8257714285714,27.1626714285714,31.2629,5.0,,,,,388082,dengue
2025-10-05,202541,81.0,81,81,81,0.79018664,3.1199963,0,1,230440020254120599,2026-05-26,Fortaleza,,1.1395923,2596157,24.7394142857143,82.0377,0,0,0,67.4821714285714,44.3795714285714,27.2458285714286,31.4164285714286,11.0,,,,,388082,dengue
