Ano_mes,Pop_sem_coleta_esgoto,Perc_sem_coleta_esgoto
2024-01,920871,0.358
2024-02,920871,0.358
2024-03,920871,0.358
2024-04,920871,0.358
2024-05,920871,0.358
2024-06,920871,0.358
2024-07,920871,0.358
2024-08,920871,0.358
2024-09,920871,0.358
2024-10,920871,0.358
2024-11,920871,0.358
2024-12,920871,0.358
2023-01,822433,0.335
2023-02,822433,0.335
2023-03,822433,0.335
2023-04,822433,0.335
2023-05,822433,0.335
2023-06,822433,0.335
2023-07,822433,0.335
2023-08,822433,0.335
2023-09,822433,0.335
2023-10,822433,0.335
2023-11,822433,0.335
2023-12,822433,0.335
2022-01,902361,0.372
2022-02,902361,0.372
2022-03,902361,0.372
2022-04,902361,0.372
2022-05,902361,0.372
2022-06,902361,0.372
2022-07,902361,0.372
2022-08,902361,0.372
2022-09,902361,0.372
2022-10,902361,0.372
2022-11,902361,0.372
2022-12,902361,0.372
2021-01,1190862,0.441
2021-02,1190862,0.441
2021-03,1190862,0.441
2021-04,1190862,0.441
2021-05,1190862,0.441
2021-06,1190862,0.441
2021-07,1190862,0.441
2021-08,1190862,0.441
2021-09,1190862,0.441
2021-10,1190862,0.441
2021-11,1190862,0.441
2021-12,1190862,0.441
2020-01,1199767,0.447
2020-02,1199767,0.447
2020-03,1199767,0.447
2020-04,1199767,0.447
2020-05,1199767,0.447
2020-06,1199767,0.447
2020-07,1199767,0.447
2020-08,1199767,0.447
2020-09,1199767,0.447
2020-10,1199767,0.447
2020-11,1199767,0.447
2020-12,1199767,0.447
2019-01,1334808,0.500
2019-02,1334808,0.500
2019-03,1334808,0.500
2019-04,1334808,0.500
2019-05,1334808,0.500
2019-06,1334808,0.500
2019-07,1334808,0.500
2019-08,1334808,0.500
2019-09,1334808,0.500
2019-10,1334808,0.500
2019-11,1334808,0.500
2019-12,1334808,0.500
2018-01,1324454,0.501
2018-02,1324454,0.501
2018-03,1324454,0.501
2018-04,1324454,0.501
2018-05,1324454,0.501
2018-06,1324454,0.501
2018-07,1324454,0.501
2018-08,1324454,0.501
2018-09,1324454,0.501
2018-10,1324454,0.501
2018-11,1324454,0.501
2018-12,1324454,0.501
2017-01,1294695,0.493
2017-02,1294695,0.493
2017-03,1294695,0.493
2017-04,1294695,0.493
2017-05,1294695,0.493
2017-06,1294695,0.493
2017-07,1294695,0.493
2017-08,1294695,0.493
2017-09,1294695,0.493
2017-10,1294695,0.493
2017-11,1294695,0.493
2017-12,1294695,0.493
2016-01,1313291,0.503
2016-02,1313291,0.503
2016-03,1313291,0.503
2016-04,1313291,0.503
2016-05,1313291,0.503
2016-06,1313291,0.503
2016-07,1313291,0.503
2016-08,1313291,0.503
2016-09,1313291,0.503
2016-10,1313291,0.503
2016-11,1313291,0.503
2016-12,1313291,0.503
2015-01,1320597,0.510
2015-02,1320597,0.510
2015-03,1320597,0.510
2015-04,1320597,0.510
2015-05,1320597,0.510
2015-06,1320597,0.510
2015-07,1320597,0.510
2015-08,1320597,0.510
2015-09,1320597,0.510
2015-10,1320597,0.510
2015-11,1320597,0.510
2015-12,1320597,0.510
2014-01,1350155,0.525
2014-02,1350155,0.525
2014-03,1350155,0.525
2014-04,1350155,0.525
2014-05,1350155,0.525
2014-06,1350155,0.525
2014-07,1350155,0.525
2014-08,1350155,0.525
2014-09,1350155,0.525
2014-10,1350155,0.525
2014-11,1350155,0.525
2014-12,1350155,0.525
2013-01,1313360,0.515
2013-02,1313360,0.515
2013-03,1313360,0.515
2013-04,1313360,0.515
2013-05,1313360,0.515
2013-06,1313360,0.515
2013-07,1313360,0.515
2013-08,1313360,0.515
2013-09,1313360,0.515
2013-10,1313360,0.515
2013-11,1313360,0.515
2013-12,1313360,0.515
2012-01,1264466,0.506
2012-02,1264466,0.506
2012-03,1264466,0.506
2012-04,1264466,0.506
2012-05,1264466,0.506
2012-06,1264466,0.506
2012-07,1264466,0.506
2012-08,1264466,0.506
2012-09,1264466,0.506
2012-10,1264466,0.506
2012-11,1264466,0.506
2012-12,1264466,0.506
2011-01,1148295,0.464
2011-02,1148295,0.464
2011-03,1148295,0.464
2011-04,1148295,0.464
2011-05,1148295,0.464
2011-06,1148295,0.464
2011-07,1148295,0.464
2011-08,1148295,0.464
2011-09,1148295,0.464
2011-10,1148295,0.464
2011-11,1148295,0.464
2011-12,1148295,0.464
2010-01,1267675,0.517
2010-02,1267675,0.517
2010-03,1267675,0.517
2010-04,1267675,0.517
2010-05,1267675,0.517
2010-06,1267675,0.517
2010-07,1267675,0.517
2010-08,1267675,0.517
2010-09,1267675,0.517
2010-10,1267675,0.517
2010-11,1267675,0.517
2010-12,1267675,0.517
