variavel,lag_meses,lag_semanas_aprox,correlacao_com_casos
temp_media,0,0.0,-0.21823867797647212
temp_media,1,4.345,-0.20697699325112964
temp_media,2,8.69,-0.10131966600573593
temp_media,3,13.035,0.09302467926374268
temp_media,4,17.38,0.20926272334707002
temp_media,5,21.724999999999998,0.3018005898274477
temp_media,6,26.07,0.2681424106414953
umid_media,0,0.0,0.3462005143360784
umid_media,1,4.345,0.4176753752929703
umid_media,2,8.69,0.33716892357034495
umid_media,3,13.035,0.13833177580493525
umid_media,4,17.38,-0.0446618075928271
umid_media,5,21.724999999999998,-0.2402164600105303
umid_media,6,26.07,-0.35879446544478627
pres_media,0,0.0,0.0025522998536923304
pres_media,1,4.345,-0.17458274087991407
pres_media,2,8.69,-0.26510199168522386
pres_media,3,13.035,-0.3048181475440829
pres_media,4,17.38,-0.29256273893227996
pres_media,5,21.724999999999998,-0.24686660736936897
pres_media,6,26.07,-0.11570875881164874
chuva_acumulada,0,0.0,0.34765365175603935
chuva_acumulada,1,4.345,0.5511280869551242
chuva_acumulada,2,8.69,0.499801469580949
chuva_acumulada,3,13.035,0.22181243703431414
chuva_acumulada,4,17.38,0.026931314952295227
chuva_acumulada,5,21.724999999999998,-0.13751453220351953
chuva_acumulada,6,26.07,-0.22992160666630293
