mes_referencia,chuva_acumulada,pres_anterior,pres_media,delta_p,queda_antecede
2017-02-01,209.6,1008.44,1008.18,-0.2600000000001046,0.2600000000001046
2017-03-01,475.0,1008.18,1008.32,0.14000000000010004,-0.14000000000010004
2017-04-01,334.2,1008.32,1008.42,0.09999999999990905,-0.09999999999990905
2017-05-01,129.8,1008.42,1009.36,0.9400000000000546,-0.9400000000000546
2017-06-01,47.0,1009.36,1010.21,0.8500000000000227,-0.8500000000000227
2017-07-01,79.2,1010.21,1012.24,2.0299999999999727,-2.0299999999999727
2017-08-01,1.8,1012.24,1011.15,-1.0900000000000318,1.0900000000000318
2017-09-01,7.6,1011.15,1011.01,-0.13999999999998636,0.13999999999998636
2017-10-01,11.6,1011.01,1009.25,-1.759999999999991,1.759999999999991
2017-11-01,9.8,1009.25,1008.35,-0.8999999999999773,0.8999999999999773
2017-12-01,14.6,1008.35,1008.24,-0.11000000000001364,0.11000000000001364
2018-01-01,139.6,1008.24,1008.31,0.06999999999993634,-0.06999999999993634
2018-02-01,211.0,1008.31,1008.05,-0.2599999999999909,0.2599999999999909
2018-03-01,275.0,1008.05,1008.27,0.22000000000002728,-0.22000000000002728
2018-04-01,190.6,1008.27,1008.94,0.6700000000000728,-0.6700000000000728
2018-05-01,213.2,1008.94,1009.78,0.8399999999999181,-0.8399999999999181
2018-06-01,48.6,1009.78,1011.34,1.5600000000000591,-1.5600000000000591
2018-07-01,193.2,1011.34,1011.42,0.07999999999992724,-0.07999999999992724
2018-08-01,20.0,1011.42,1011.86,0.44000000000005457,-0.44000000000005457
2018-09-01,10.6,1011.86,1009.77,-2.090000000000032,2.090000000000032
2018-10-01,7.0,1009.77,1009.19,-0.5799999999999272,0.5799999999999272
2018-11-01,20.4,1009.19,1008.04,-1.150000000000091,1.150000000000091
2018-12-01,180.6,1008.04,1009.1,1.0600000000000591,-1.0600000000000591
2019-01-01,171.2,1009.1,1009.51,0.40999999999996817,-0.40999999999996817
2019-02-01,14.4,1009.51,1008.52,-0.9900000000000091,0.9900000000000091
2019-05-01,280.4,1008.91,1009.1,0.19000000000005457,-0.19000000000005457
2019-06-01,206.8,1009.1,1011.13,2.0299999999999727,-2.0299999999999727
2019-07-01,53.4,1011.13,1011.35,0.22000000000002728,-0.22000000000002728
2019-08-01,20.4,1011.35,1012.56,1.2099999999999227,-1.2099999999999227
2019-09-01,13.6,1012.56,1010.92,-1.6399999999999864,1.6399999999999864
2019-10-01,11.0,1010.92,1009.29,-1.6299999999999955,1.6299999999999955
2019-11-01,4.6,1009.29,1007.83,-1.4599999999999227,1.4599999999999227
2019-12-01,60.8,1007.83,1008.02,0.18999999999994088,-0.18999999999994088
2020-01-01,237.8,1008.02,1008.71,0.6900000000000546,-0.6900000000000546
2020-02-01,308.6,1008.71,1008.7,-0.009999999999990905,0.009999999999990905
2020-03-01,409.4,1008.7,1008.37,-0.3300000000000409,0.3300000000000409
2020-04-01,438.4,1008.37,1008.88,0.5099999999999909,-0.5099999999999909
2020-05-01,298.2,1008.88,1009.88,1.0,-1.0
2020-06-01,97.8,1009.88,1010.34,0.4600000000000364,-0.4600000000000364
2020-07-01,63.6,1010.34,1010.51,0.16999999999995907,-0.16999999999995907
2020-08-01,1.0,1010.51,1010.61,0.10000000000002274,-0.10000000000002274
2020-09-01,6.6,1010.61,1010.47,-0.13999999999998636,0.13999999999998636
2020-10-01,18.0,1010.47,1009.26,-1.2100000000000364,1.2100000000000364
2020-11-01,18.6,1009.26,1008.27,-0.9900000000000091,0.9900000000000091
2020-12-01,27.2,1008.27,1008.35,0.08000000000004093,-0.08000000000004093
2021-01-01,121.8,1008.35,1007.94,-0.40999999999996817,0.40999999999996817
2021-02-01,67.8,1007.94,1007.86,-0.08000000000004093,0.08000000000004093
2021-03-01,422.0,1007.86,1008.06,0.1999999999999318,-0.1999999999999318
2021-04-01,172.6,1008.06,1008.06,0.0,0.0
2021-05-01,201.4,1008.06,1009.56,1.5,-1.5
2021-06-01,92.2,1009.56,1010.25,0.6900000000000546,-0.6900000000000546
2021-07-01,35.8,1010.25,1011.56,1.3099999999999454,-1.3099999999999454
2021-08-01,2.2,1011.56,1010.79,-0.7699999999999818,0.7699999999999818
2021-09-01,3.2,1010.79,1010.33,-0.4599999999999227,0.4599999999999227
2021-10-01,9.8,1010.33,1008.8,-1.5300000000000864,1.5300000000000864
2021-11-01,4.8,1008.8,1007.8,-1.0,1.0
