data_semana_epidemiologica,ano,mes,semana_epidemiologica,SE,municipio,casos_est,casos_notificados,casos_est_min,casos_est_max,casprov,casprov_est,casconf,p_inc100k,p_rt1,Rt,nivel,nivel_inc,receptivo,transmissao,pop,tempmin,tempmed,tempmax,umidmin,umidmed,umidmax,registro_original,Localidade_id,id,versao_modelo,tweet,casprov_est_min,casprov_est_max,notif_accum_year
2017-01-01,2017,1,52,201701,Fortaleza,405.0,405,405,405,208,0.0,0.0,15.074748,0.9999984,1.4296496,1,1,0,1,2686612,26.2857142857143,27.1607144285714,28.1428571428571,68.8571428571429,79.1232991428571,86.7142857142857,True,0,230440020170119589,2023-08-20,10.0,0.0,0.0,171131
2017-01-08,2017,1,1,201702,Fortaleza,418.0,418,418,418,238,0.0,0.0,15.558629,0.9999504,1.3354673,3,1,1,1,2686612,25.0,25.9100528571429,26.5714285714286,77.0,83.3635685714286,88.7142857142857,True,0,230440020170219589,2023-08-20,3.0,0.0,0.0,171131
2017-01-15,2017,1,2,201703,Fortaleza,633.0,633,633,633,385,0.0,0.0,23.561274,1.0,1.6566454,3,1,1,1,2686612,25.1428571428571,26.3527211428571,27.2857142857143,75.2857142857143,82.8632648571429,88.8571428571429,True,0,230440020170319589,2023-08-20,5.0,0.0,0.0,171131
2017-01-22,2017,1,3,201704,Fortaleza,736.0,736,736,736,419,0.0,0.0,27.395098,1.0,1.5507354,3,1,1,1,2686612,25.5714285714286,26.7419951428571,27.8571428571429,73.7142857142857,81.9755437142857,89.0,True,0,230440020170419589,2023-08-20,8.0,0.0,0.0,171131
2017-01-29,2017,1,4,201705,Fortaleza,1136.0,1136,1136,1136,555,0.0,0.0,42.283737,1.0,1.8432597,3,1,0,1,2686612,26.1428571428571,26.7902887142857,27.5714285714286,75.8571428571429,80.9655171428571,85.4285714285714,True,0,230440020170519589,2023-08-20,1.0,0.0,0.0,171131
2017-02-05,2017,2,5,201706,Fortaleza,1363.0,1363,1363,1363,664,0.0,0.0,50.733044,1.0,1.6628841,3,1,1,1,2686612,25.7142857142857,26.9534854285714,27.7142857142857,76.5714285714286,82.4031251428571,88.2857142857143,True,0,230440020170619589,2023-08-20,8.0,0.0,0.0,171131
2017-02-12,2017,2,6,201707,Fortaleza,1374.0,1374,1374,1374,849,0.0,0.0,51.14248,1.0,1.2824796,3,1,1,1,2686612,25.2857142857143,25.8496542857143,26.8571428571429,80.0,85.98593,89.7142857142857,True,0,230440020170719589,2023-08-20,6.0,0.0,0.0,171131
2017-02-19,2017,2,7,201708,Fortaleza,1117.0,1117,1117,1117,635,0.0,0.0,41.576527,0.0024383322,0.89074105,2,1,1,0,2686612,25.1428571428571,26.0566894285714,26.8571428571429,79.1428571428571,87.1720514285714,93.4285714285714,True,0,230440020170819589,2023-08-20,5.0,0.0,0.0,171131
2017-02-26,2017,2,8,201709,Fortaleza,1196.0,1196,1196,1196,642,0.0,0.0,44.517036,0.050617103,0.9362122,2,1,1,0,2686612,24.0,25.0170067142857,26.4285714285714,85.0,92.5039691428571,96.5714285714286,True,0,230440020170919589,2023-08-20,4.0,0.0,0.0,171131
2017-03-05,2017,3,9,201710,Fortaleza,1529.0,1529,1529,1529,826,0.0,0.0,56.911827,1.0,1.2443447,2,1,1,1,2686612,25.0,26.3071924285714,27.5714285714286,81.2857142857143,88.0236005714286,93.4285714285714,True,0,230440020171019589,2023-08-20,9.0,0.0,0.0,171131
